Phase,Fraction,Guess for r
0.57421875,4/7,7
0.7060546875,12/17,17
0.2783203125,5/18,18
0.587890625,10/17,17
0.4482421875,9/20,20
0.537109375,7/13,13
0.833984375,5/6,6
0.482421875,10/21,21
0.83984375,16/19,19
0.421875,8/19,19
0.0302734375,1/21,21
0.7021484375,7/10,10
0.25390625,1/4,4
0.044921875,1/21,21
0.2490234375,1/4,4
0.5517578125,11/20,20
0.189453125,4/21,21
0.080078125,1/13,13
0.8310546875,5/6,6
0.568359375,4/7,7
0.8232421875,14/17,17
0.892578125,17/19,19
0.255859375,1/4,4
0.09375,2/21,21
0.59375,10/17,17
0.720703125,13/18,18
0.4296875,3/7,7
0.703125,12/17,17
0.3046875,4/13,13
0.7998046875,4/5,5
0.80078125,4/5,5
0.490234375,1/2,2
0.783203125,11/14,14
0.8818359375,15/17,17
0.8203125,9/11,11
0.8408203125,16/19,19
0.58203125,7/12,12
0.0966796875,2/21,21
0.1796875,2/11,11
0.2958984375,5/17,17
0.451171875,9/20,20
0.46875,8/17,17
0.7314453125,11/15,15
0.5146484375,11/21,21
0.197265625,1/5,5
0.115234375,2/17,17
0.7880859375,15/19,19
0.5693359375,4/7,7
0.4541015625,5/11,11
0.03125,1/21,21
0.5185546875,11/21,21
0.9697265625,20/21,21
0.669921875,2/3,3
0.6240234375,5/8,8
0.65625,13/20,20
0.1201171875,2/17,17
0.162109375,3/19,19
0.1259765625,1/8,8
0.50390625,1/2,2
0.6767578125,13/19,19
0.962890625,20/21,21
0.7646484375,13/17,17
0.5068359375,1/2,2
0.7412109375,14/19,19
0.1572265625,3/19,19
0.0205078125,0/1,1
0.9072265625,10/11,11
0.9970703125,1/1,1
0.40625,7/17,17
0.6630859375,2/3,3
0.607421875,11/18,18
0.8740234375,7/8,8
0.0400390625,1/21,21
0.3056640625,4/13,13
0.77734375,7/9,9
0.8916015625,8/9,9
0.5126953125,11/21,21
0.0556640625,1/18,18
0.970703125,20/21,21
0.001953125,0/1,1
0.4287109375,3/7,7
0.6953125,9/13,13
0.3330078125,1/3,3
0.7607421875,16/21,21
0.294921875,5/17,17
0.4052734375,2/5,5
0.041015625,1/21,21
0.0458984375,1/21,21
0.6220703125,5/8,8
0.998046875,1/1,1
0.3408203125,1/3,3
0.4130859375,7/17,17
0.1240234375,1/8,8
0.4853515625,10/21,21
0.359375,5/14,14
0.2158203125,3/14,14
0.9990234375,1/1,1
0.33203125,1/3,3
0.0234375,0/1,1
0.28515625,2/7,7
0.8671875,13/15,15
0.583984375,7/12,12
0.732421875,11/15,15
0.7919921875,15/19,19
0.728515625,8/11,11
0.287109375,2/7,7
0.1826171875,2/11,11
0.271484375,3/11,11
0.0166015625,0/1,1
0.1103515625,1/9,9
0.5439453125,6/11,11
0.755859375,3/4,4
0.529296875,9/17,17
0.0283203125,1/21,21
0.1650390625,1/6,6
0.7490234375,3/4,4
0.4384765625,7/16,16
0.04296875,1/21,21
0.1689453125,1/6,6
0.869140625,13/15,15
0.19140625,4/21,21
0.9775390625,1/1,1
0.2802734375,5/18,18
0.63671875,7/11,11
0.5400390625,7/13,13
0.40234375,2/5,5
